"st001"	"st002"	"st003"	"st004"	"st005"	"st007"	"st009"	"st010"	"st012"	"st013"	"st014"	"st015"	"st017"	"st018"	"st019"	"st022"	"st023"	"st024"	"st025"	"st026"	"st027"	"st028"	"st029"	"st030"	"st032"	"st033"	"st034"	"st035"	"st037"	"st038"	"st039"	"st040"	"st041"	"st043"	"st044"	"st045"	"st046"	"st047"	"st049"	"st050"	"st051"	"st052"	"st053"	"st055"	"st056"	"st057"	"st058"	"st059"	"st060"	"st062"	"st063"	"st064"	"st065"	"st066"	"st067"	"st0681"	"st0682"	"st069"	"st070"	"st0711"	"st0712"	"st072"	"st073"	"st074"	"st075"	"st076"	"st077"	"st078"	"st079"	"st081"	"st082"	"st083"	"st085"	"st086"	"st087"	"st088"	"st089"	"st092"	"st093"	"st094"	"st095"	"st096"	"st097"	"st098"	"st101"	"st102"	"st103"	"st104"	"st106"	"st107"	"st108"	"st109"	"st110"	"st112"	"st114"	"st115"	"st116"	"st118"	"st119"	"st120"	"st121"	"st125"	"st126"	"st127"	"st128"	"st129"	"st130"	"st131"	"st132"	"st133"	"st134"	"st135"	"st138"	"st139"	"st140"	"st141"	"st143"	"st145"	"st146"	"SILVA_taxonomic_classification"	"MAS_taxonomic_classification"	"BM_taxonomic_classification"	"SILVA_class"	"MAS_class"	"BM_class"	"MAS_plus_BM_plus_SILVA_class"	"OTU_no"
"OTU_1"	31	24	40	35	36	12	37	27	27	17	19	45	16	104	67	56	53	27	51	53	0	33	1	25	110	103	114	141	15	194	88	215	56	94	57	62	35	109	95	66	103	131	25	93	237	153	106	90	118	100	62	60	219	118	79	88	118	27	25	9	20	38	70	64	52	89	54	120	100	76	70	33	57	72	36	65	93	41	167	86	40	94	26	91	112	54	99	42	62	76	36	52	71	77	81	30	11	39	11	39	90	44	46	28	14	25	15	15	11	54	31	24	69	101	161	189	177	313	272	"KC488417.1.1688_Eukaryota;SAR;Alveolata;Dinoflagellata;Dinophyceae;Gymnodiniphycidae;Gymnodinium_clade;FV18-2D9;uncultured_dinoflagellate"	"EU793855_Dinophyceae_Alveolata"	"9492_Dinophyceae_Alveolata_15"	"Dinophyceae"	"Dinophyceae"	"Dinophyceae"	"Dinophyceae"	1
"OTU_4"	10	6	9	84	20	0	17	20	13	13	16	10	43	75	37	19	26	20	29	32	9	13	1	22	200	47	40	22	9	702	60	380	260	5	26	17	22	38	20	20	31	111	0	44	33	15	10	35	177	26	156	34	27	79	86	89	126	22	61	37	58	47	35	113	12	39	46	44	124	27	98	100	76	99	110	70	27	49	23	88	37	60	29	43	68	111	18	54	57	94	40	15	59	59	76	66	75	47	7	18	36	4	20	109	67	68	13	92	103	57	93	24	67	189	35	83	13	108	74	"KC488405.1.1558_Eukaryota;SAR;Alveolata;Dinoflagellata;Dinophyceae;Gymnodiniphycidae;Gymnodinium_clade;Erythropsidinium;uncultured_dinoflagellate"	"EU780636_Dinophyceae_Alveolata"	"21474_Dinophyceae_Alveolata_6"	"Dinophyceae"	"Dinophyceae"	"Dinophyceae"	"Dinophyceae"	4
"OTU_16"	0	2	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	1	6	1	3	0	0	0	0	0	0	0	1	38	157	496	154	329	150	156	0	0	0	0	0	0	0	0	1	0	0	0	0	18	0	16	0	4	634	27	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	"KF031720.1.1747_Eukaryota;Archaeplastida;Chloroplastida;Chlorophyta;Clade_VII;Subclade_B;uncultured_eukaryote"	"FJ537299_Prasinophyceae_Chlorophyta"	"1062_Prasinophyceae_Archaeplastida_88"	NA	"Prasinophyceae"	"Prasinophyceae"	"Prasinophyceae"	16
"OTU_18"	50	47	69	77	82	9	48	58	69	26	57	60	21	53	26	60	83	31	74	84	14	66	2	0	67	60	81	75	1	31	35	32	30	18	11	24	37	79	46	26	64	57	13	173	78	122	247	182	60	121	24	65	109	93	71	27	19	36	68	52	73	24	33	75	26	26	88	36	52	40	68	36	50	26	20	36	161	63	67	36	138	200	41	47	25	36	93	26	13	46	11	44	27	43	42	53	23	39	46	67	75	5	71	16	11	25	11	55	7	40	55	10	47	62	71	50	69	63	74	"AY664924.1.1754_Eukaryota;SAR;Alveolata;OLI11255;uncultured_eukaryote"	"EU793623_Dinophyceae_Alveolata"	"16659_Dinophyceae_Alveolata_16"	NA	"Dinophyceae"	"Dinophyceae"	"Dinophyceae"	18
"OTU_20"	0	78	0	0	116	0	7	28	6	0	164	37	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	1	22	45	48	75	43	3	0	0	26	0	0	0	0	0	0	0	0	0	0	0	1	2	3	0	0	67	198	960	154	142	49	73	179	316	216	351	15	35	37	1	0	0	0	0	0	125	366	525	244	441	870	0	0	0	0	0	29	0	22	6	0	62	41	153	145	24	222	49	55	105	253	0	0	0	0	2	0	312	0	248	2	0	0	0	0	0	0	"EF455763.1.1872_Eukaryota;SAR;Stramenopiles;Ochrophyta;Pelagophyceae;Pelagomonadales;Pelagomonas;Pelagomonas_calceolata"	"U14389_Pelagophytes_Stramenopiles"	"30_Pelagophyceae_Stramenopiles_3903"	"Pelagophyceae"	"Pelagophyceae"	"Pelagophyceae"	"Pelagophyceae"	20
"OTU_25"	112	127	115	130	196	35	150	108	85	62	75	79	27	103	107	147	171	80	90	76	4	65	2	0	84	62	119	96	0	98	121	139	14	6	34	1	45	75	70	44	93	107	30	219	197	161	204	244	231	172	78	189	115	158	120	33	45	71	92	45	221	75	138	52	9	6	81	32	76	74	143	141	94	18	24	30	111	183	35	12	100	117	18	173	77	41	166	78	62	129	70	162	101	214	122	87	43	44	10	60	119	5	101	60	21	67	1	39	9	62	11	103	20	28	74	48	111	50	55	"AY664971.1.1755_Eukaryota;SAR;Alveolata;SCM37C52;uncultured_eukaryote"	"FJ537481_Dinophyceae_Alveolata"	"5651_Dinophyceae_Alveolata_249"	NA	"Dinophyceae"	"Dinophyceae"	"Dinophyceae"	25
"OTU_33"	33	22	16	10	40	5	28	24	13	9	34	4	9	15	2	14	27	22	66	39	0	19	0	0	15	28	20	16	0	0	7	5	7	9	4	2	53	11	7	9	8	38	9	27	35	13	65	19	7	26	5	13	56	46	6	17	13	2	61	97	60	18	23	70	13	38	32	8	7	20	15	26	15	6	4	5	7	63	184	87	143	206	25	7	10	9	42	8	9	3	1	8	2	56	30	75	17	44	49	2	28	101	91	1	6	8	4	19	1	19	8	9	6	4	2	10	11	4	19	"AY664962.1.1755_Eukaryota;SAR;Alveolata;Dinoflagellata;uncultured_eukaryote"	"GQ382841_Dinophyceae_Alveolata"	"5854_Dinophyceae_Alveolata_118"	NA	"Dinophyceae"	"Dinophyceae"	"Dinophyceae"	33
"OTU_34"	0	0	0	0	0	0	0	0	0	0	1	0	15	0	0	47	0	17	0	0	4	2	0	0	28	1	44	50	26	63	49	12	608	87	1	89	97	392	1426	211	107	126	35	643	249	99	38	23	18	341	29	52	14	13	3	17	10	41	18	48	44	3	3	3	2	0	1	3	21	3	0	7	1	1	0	1	0	0	0	0	0	0	0	0	0	6	5	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	1	8	5	3	6	8	0	33	2	0	0	6	0	0	0	2	11	"JQ782092.1.1744_Eukaryota;SAR;Stramenopiles;Ochrophyta;Chrysophyceae;uncultured;uncultured_stramenopile"	"EF633325_Chrysophytes_Stramenopiles"	"2777_Chrysophyceae_Stramenopiles_14"	"Chrysophyceae"	"Chrysophyceae"	"Chrysophyceae"	"Chrysophyceae"	34
"OTU_39"	28	10	12	35	31	10	13	23	21	9	49	7	13	16	20	27	30	5	53	29	0	32	2	0	27	28	19	18	8	19	29	14	31	35	9	47	61	15	19	14	29	33	14	96	4	80	42	55	14	24	26	22	58	51	29	21	44	11	34	16	5	8	5	32	11	15	19	22	7	11	29	16	24	26	15	27	22	24	44	46	30	86	42	9	22	15	41	11	16	9	6	14	17	34	61	53	64	53	26	29	41	167	16	9	37	16	8	18	25	8	41	13	12	10	21	5	7	16	8	"FJ832106.1.1588_Eukaryota;SAR;Alveolata;Dinoflagellata;Dinophyceae;Gymnodiniphycidae;Gyrodinium;uncultured_marine_plankton"	"EU561942_Dinophyceae_Alveolata"	"60_Dinophyceae_Alveolata_2847"	"Dinophyceae"	"Dinophyceae"	"Dinophyceae"	"Dinophyceae"	39
"OTU_40"	89	81	64	61	71	8	26	22	35	15	22	19	18	39	26	46	84	45	36	43	1	40	0	0	50	37	79	67	5	37	53	142	22	23	22	16	19	34	46	18	29	67	10	75	113	85	81	79	81	58	20	38	84	97	68	25	36	27	48	25	43	17	38	10	18	12	9	13	31	26	50	55	38	13	15	38	78	22	7	10	8	10	5	46	34	43	50	20	12	24	8	25	17	31	24	11	18	33	0	10	15	0	2	8	16	21	0	15	1	14	40	17	74	43	64	31	32	22	30	"KC582936.1.1795_Eukaryota;SAR;Alveolata;Dinoflagellata;Dinophyceae;Gymnodiniphycidae;SCM27C9;uncultured_alveolate"	"EU793835_Dinophyceae_Alveolata"	"1849_Dinophyceae_Alveolata_250"	"Dinophyceae"	"Dinophyceae"	"Dinophyceae"	"Dinophyceae"	40
